scope,condition,prompt_id,prompt,reward_model,n,raw_mean,raw_var,z_mean,z_var
all_rollouts,imagereward,parti_00233,the Great Wall,hpsv2,44,0.18564675071022727,0.00037356675553271433,-0.6090545972630315,0.08032089488903439
all_rollouts,imagereward,parti_00233,the Great Wall,imagereward,44,-1.8113517563536086,0.9392531814184109,-0.9133719486739587,0.34125627061185015
all_rollouts,imagereward,parti_00233,the Great Wall,pickscore,44,18.163643923672762,0.373132922390768,-1.2345711138753246,0.07712852585199487
all_rollouts,imagereward,parti_00300,"a portrait of a statue of the Egyptian god Anubis wearing aviator goggles, white t-shirt and leather jacket. The city of Los Angeles is in the background.",hpsv2,44,0.22299055619673294,0.0012768999935299096,-0.06147314249130387,0.27454731622965023
all_rollouts,imagereward,parti_00300,"a portrait of a statue of the Egyptian god Anubis wearing aviator goggles, white t-shirt and leather jacket. The city of Los Angeles is in the background.",imagereward,44,0.04640417863530191,1.1433666141297372,0.20642077252884652,0.415416241753668
all_rollouts,imagereward,parti_00300,"a portrait of a statue of the Egyptian god Anubis wearing aviator goggles, white t-shirt and leather jacket. The city of Los Angeles is in the background.",pickscore,44,19.56158585981889,1.077293817911678,-0.5989989562638235,0.22268226441294295
all_rollouts,imagereward,parti_00308,"a portrait of a statue of the Egyptian god Anubis wearing aviator goggles, white t-shirt and leather jacket. the skyline of Los Angeles at night can be seen in the background.",hpsv2,44,0.2318087491122159,0.0006509170203959966,0.06783020092030315,0.13995420310395312
all_rollouts,imagereward,parti_00308,"a portrait of a statue of the Egyptian god Anubis wearing aviator goggles, white t-shirt and leather jacket. the skyline of Los Angeles at night can be seen in the background.",imagereward,44,0.35012574097014626,0.8058865226346684,0.3894939030565835,0.2928005299224516
all_rollouts,imagereward,parti_00308,"a portrait of a statue of the Egyptian god Anubis wearing aviator goggles, white t-shirt and leather jacket. the skyline of Los Angeles at night can be seen in the background.",pickscore,44,19.876966606486928,0.384435005351389,-0.45561158340803387,0.07946472548890801
all_rollouts,imagereward,parti_00422,"a young badger delicately sniffing a yellow rose, richly textured oil painting",hpsv2,44,0.27787642045454547,0.0012401440052855089,0.7433318581012799,0.26664438101232585
all_rollouts,imagereward,parti_00422,"a young badger delicately sniffing a yellow rose, richly textured oil painting",imagereward,44,1.3854875977743755,1.0880700188887091,1.0135751664908559,0.3953254821557188
all_rollouts,imagereward,parti_00422,"a young badger delicately sniffing a yellow rose, richly textured oil painting",pickscore,44,22.31221801584417,1.081915763256687,0.6515717355490998,0.22363764467996666
all_rollouts,imagereward,parti_00555,the Taj Mahal at sunrise,hpsv2,44,0.19659978693181818,0.002549895162184193,-0.44844751851864745,0.5482550528560567
all_rollouts,imagereward,parti_00555,the Taj Mahal at sunrise,imagereward,44,-0.7639917312189937,1.7781957552255874,-0.28205859338569805,0.6460669645320953
all_rollouts,imagereward,parti_00555,the Taj Mahal at sunrise,pickscore,44,19.190759333697233,3.7903254577601686,-0.7675946677255362,0.7834800884982497
all_rollouts,imagereward,parti_00674,an elder politician giving a campaign speech,hpsv2,44,0.15787159312855115,0.0014789002921912684,-1.0163286015308635,0.3179795663323008
all_rollouts,imagereward,parti_00674,an elder politician giving a campaign speech,imagereward,44,-1.5407209640199488,0.6710900657517835,-0.7502448200340015,0.24382530462901436
all_rollouts,imagereward,parti_00674,an elder politician giving a campaign speech,pickscore,44,19.264295664700594,1.2712751443355284,-0.7341614875982646,0.2627792187476709
all_rollouts,imagereward,parti_00708,A shiny robot wearing a race car suit and black visor stands proudly in front of an F1 race car. The sun is setting on a cityscape in the background. comic book illustration.,hpsv2,44,0.25404774058948865,0.0003758321967109817,0.3939260325350402,0.08080798925720808
all_rollouts,imagereward,parti_00708,A shiny robot wearing a race car suit and black visor stands proudly in front of an F1 race car. The sun is setting on a cityscape in the background. comic book illustration.,imagereward,44,0.23523662786465138,0.2675395644926582,0.320242614349627,0.09720441285278084
all_rollouts,imagereward,parti_00708,A shiny robot wearing a race car suit and black visor stands proudly in front of an F1 race car. The sun is setting on a cityscape in the background. comic book illustration.,pickscore,44,20.65254831314087,0.22487632227135734,-0.10299454978430798,0.046483111499991965
all_rollouts,imagereward,parti_00861,The trophy doesn't fit into the brown suitcase because it's too small,hpsv2,44,0.18730302290482956,0.000886209632012103,-0.5847682684863351,0.19054466075544682
